Pinned - Pinned Beam Results
****************************

Mode,Beta,Freq
0,0.0314159,49.348
1,0.0628319,197.392
2,0.0942478,444.132
3,0.125664,789.568


,Mode
x/L,1,2,3,4
   0,         0,         0,         0,         0,
0.05,    0.1564,     0.309,     0.454,    0.5878,
 0.1,     0.309,    0.5878,     0.809,    0.9511,
0.15,     0.454,     0.809,    0.9877,    0.9511,
 0.2,    0.5878,    0.9511,    0.9511,    0.5878,
0.25,    0.7071,         1,    0.7071,         0,
 0.3,     0.809,    0.9511,     0.309,   -0.5878,
0.35,     0.891,     0.809,   -0.1564,   -0.9511,
 0.4,    0.9511,    0.5878,   -0.5878,   -0.9511,
0.45,    0.9877,     0.309,    -0.891,   -0.5878,
 0.5,         1,         0,        -1,         0,
0.55,    0.9877,    -0.309,    -0.891,    0.5878,
 0.6,    0.9511,   -0.5878,   -0.5878,    0.9511,
0.65,     0.891,    -0.809,   -0.1564,    0.9511,
 0.7,     0.809,   -0.9511,     0.309,    0.5878,
0.75,    0.7071,        -1,    0.7071,         0,
 0.8,    0.5878,   -0.9511,    0.9511,   -0.5878,
0.85,     0.454,    -0.809,    0.9877,   -0.9511,
 0.9,     0.309,   -0.5878,     0.809,   -0.9511,
0.95,    0.1564,    -0.309,     0.454,   -0.5878,
   1,         0,         0,         0,         0,
