x            y          u          v           p
bottom of domain
-1.000000   -0.500000    0.971672    0.072655    0.025288
-0.955000   -0.500000    0.969732    0.074607    0.027027
-0.910000   -0.500000    0.967599    0.076628    0.028940
-0.865000   -0.500000    0.965250    0.078714    0.031048
-0.820000   -0.500000    0.962657    0.080859    0.033376
-0.775000   -0.500000    0.959790    0.083054    0.035952
-0.730000   -0.500000    0.956615    0.085285    0.038807
-0.685000   -0.500000    0.953094    0.087534    0.041975
-0.640000   -0.500000    0.949185    0.089773    0.045494
-0.595000   -0.500000    0.944844    0.091967    0.049406
-0.550000   -0.500000    0.940022    0.094068    0.053755
-0.505000   -0.500000    0.934674    0.096014    0.058583
-0.460000   -0.500000    0.928752    0.097723    0.063935
-0.415000   -0.500000    0.922220    0.099096    0.069845
-0.370000   -0.500000    0.915053    0.100007    0.076338
-0.325000   -0.500000    0.907250    0.100308    0.083418
-0.280000   -0.500000    0.898843    0.099830    0.091057
-0.235000   -0.500000    0.889912    0.098392    0.099188
-0.190000   -0.500000    0.880591    0.095809    0.107690
-0.145000   -0.500000    0.871080    0.091922    0.116385
-0.100000   -0.500000    0.861639    0.086617    0.125038
-0.055000   -0.500000    0.852573    0.079852    0.133372
-0.010000   -0.500000    0.844203    0.071680    0.141091
0.035000   -0.500000    0.836834    0.062247    0.147917
0.080000   -0.500000    0.830709    0.051786    0.153620
0.125000   -0.500000    0.825994    0.040583    0.158044
0.170000   -0.500000    0.822758    0.028943    0.161116
0.215000   -0.500000    0.820988    0.017154    0.162842
0.260000   -0.500000    0.820605    0.005465    0.163289
0.305000   -0.500000    0.821487   -0.005926    0.162562
0.350000   -0.500000    0.823497   -0.016876    0.160784
0.395000   -0.500000    0.826490   -0.027288    0.158085
0.440000   -0.500000    0.830337   -0.037100    0.154582
0.485000   -0.500000    0.834921   -0.046278    0.150383
0.530000   -0.500000    0.840145   -0.054806    0.145576
0.575000   -0.500000    0.845930   -0.062671    0.140237
0.620000   -0.500000    0.852211   -0.069867    0.134428
0.665000   -0.500000    0.858935   -0.076378    0.128199
0.710000   -0.500000    0.866054   -0.082181    0.121599
0.755000   -0.500000    0.873517   -0.087244    0.114678
0.800000   -0.500000    0.881266   -0.091521    0.107497
0.845000   -0.500000    0.889220   -0.094963    0.100135
0.890000   -0.500000    0.897274   -0.097526    0.092694
0.935000   -0.500000    0.905294   -0.099186    0.085303
0.980000   -0.500000    0.913128   -0.099955    0.078103
1.025000   -0.500000    0.920624   -0.099894    0.071236
1.070000   -0.500000    0.927653   -0.099110    0.064819
1.115000   -0.500000    0.934125   -0.097740    0.058929
1.160000   -0.500000    0.939999   -0.095929    0.053600
1.205000   -0.500000    0.945277   -0.093812    0.048826
1.250000   -0.500000    0.949987   -0.091505    0.044575
top of domain
-1.000000    1.000000    1.041180    0.049010   -0.043229
-0.955000    1.000000    1.042984    0.049258   -0.045121
-0.910000    1.000000    1.044875    0.049442   -0.047104
-0.865000    1.000000    1.046853    0.049553   -0.049178
-0.820000    1.000000    1.048919    0.049581   -0.051345
-0.775000    1.000000    1.051072    0.049513   -0.053602
-0.730000    1.000000    1.053311    0.049337   -0.055949
-0.685000    1.000000    1.055631    0.049041   -0.058381
-0.640000    1.000000    1.058029    0.048610   -0.060895
-0.595000    1.000000    1.060498    0.048030   -0.063481
-0.550000    1.000000    1.063027    0.047286   -0.066131
-0.505000    1.000000    1.065606    0.046364   -0.068833
-0.460000    1.000000    1.068221    0.045251   -0.071572
-0.415000    1.000000    1.070853    0.043932   -0.074328
-0.370000    1.000000    1.073484    0.042398   -0.077083
-0.325000    1.000000    1.076091    0.040638   -0.079812
-0.280000    1.000000    1.078649    0.038646   -0.082489
-0.235000    1.000000    1.081131    0.036419   -0.085085
-0.190000    1.000000    1.083508    0.033959   -0.087571
-0.145000    1.000000    1.085750    0.031270   -0.089916
-0.100000    1.000000    1.087830    0.028363   -0.092089
-0.055000    1.000000    1.089718    0.025253   -0.094061
-0.010000    1.000000    1.091388    0.021958   -0.095805
0.035000    1.000000    1.092816    0.018504   -0.097295
0.080000    1.000000    1.093983    0.014917   -0.098511
0.125000    1.000000    1.094874    0.011228   -0.099437
0.170000    1.000000    1.095477    0.007469   -0.100063
0.215000    1.000000    1.095788    0.003673   -0.100383
0.260000    1.000000    1.095806   -0.000125   -0.100395
0.305000    1.000000    1.095535   -0.003895   -0.100106
0.350000    1.000000    1.094985   -0.007604   -0.099525
0.395000    1.000000    1.094168   -0.011224   -0.098665
0.440000    1.000000    1.093101   -0.014730   -0.097543
0.485000    1.000000    1.091802   -0.018100   -0.096180
0.530000    1.000000    1.090292   -0.021315   -0.094596
0.575000    1.000000    1.088594   -0.024358   -0.092815
0.620000    1.000000    1.086730   -0.027219   -0.090862
0.665000    1.000000    1.084724   -0.029889   -0.088759
0.710000    1.000000    1.082597   -0.032361   -0.086532
0.755000    1.000000    1.080373   -0.034634   -0.084203
0.800000    1.000000    1.078072   -0.036707   -0.081794
0.845000    1.000000    1.075716   -0.038582   -0.079326
0.890000    1.000000    1.073322   -0.040263   -0.076820
0.935000    1.000000    1.070907   -0.041756   -0.074293
0.980000    1.000000    1.068488   -0.043067   -0.071761
1.025000    1.000000    1.066079   -0.044206   -0.069240
1.070000    1.000000    1.063693   -0.045180   -0.066742
1.115000    1.000000    1.061339   -0.045999   -0.064278
1.160000    1.000000    1.059028   -0.046674   -0.061859
1.205000    1.000000    1.056768   -0.047214   -0.059494
1.250000    1.000000    1.054564   -0.047630   -0.057187
domain inlet
-1.000000   -0.500000    0.971672    0.072655    0.025288
-1.000000   -0.470000    0.972988    0.073872    0.023918
-1.000000   -0.440000    0.974381    0.075052    0.022474
-1.000000   -0.410000    0.975850    0.076188    0.020956
-1.000000   -0.380000    0.977393    0.077276    0.019366
-1.000000   -0.350000    0.979009    0.078307    0.017705
-1.000000   -0.320000    0.980695    0.079275    0.015976
-1.000000   -0.290000    0.982448    0.080175    0.014183
-1.000000   -0.260000    0.984265    0.081000    0.012331
-1.000000   -0.230000    0.986140    0.081743    0.010423
-1.000000   -0.200000    0.988068    0.082400    0.008466
-1.000000   -0.170000    0.990044    0.082966    0.006465
-1.000000   -0.140000    0.992060    0.083435    0.004428
-1.000000   -0.110000    0.994110    0.083804    0.002361
-1.000000   -0.080000    0.996185    0.084070    0.000273
-1.000000   -0.050000    0.998279    0.084229   -0.001828
-1.000000   -0.020000    1.000382    0.084282   -0.003933
-1.000000    0.010000    1.002485    0.084226   -0.006035
-1.000000    0.040000    1.004582    0.084062   -0.008125
-1.000000    0.070000    1.006662    0.083792   -0.010195
-1.000000    0.100000    1.008718    0.083418   -0.012235
-1.000000    0.130000    1.010742    0.082941   -0.014239
-1.000000    0.160000    1.012727    0.082367   -0.016200
-1.000000    0.190000    1.014665    0.081699   -0.018110
-1.000000    0.220000    1.016550    0.080943   -0.019963
-1.000000    0.250000    1.018377    0.080103   -0.021754
-1.000000    0.280000    1.020140    0.079186   -0.023478
-1.000000    0.310000    1.021836    0.078199   -0.025131
-1.000000    0.340000    1.023460    0.077147   -0.026711
-1.000000    0.370000    1.025010    0.076037   -0.028214
-1.000000    0.400000    1.026485    0.074876   -0.029639
-1.000000    0.430000    1.027882    0.073670   -0.030984
-1.000000    0.460000    1.029200    0.072426   -0.032249
-1.000000    0.490000    1.030441    0.071150   -0.033435
-1.000000    0.520000    1.031603    0.069847   -0.034542
-1.000000    0.550000    1.032689    0.068525   -0.035571
-1.000000    0.580000    1.033699    0.067187   -0.036524
-1.000000    0.610000    1.034635    0.065839   -0.037402
-1.000000    0.640000    1.035499    0.064486   -0.038208
-1.000000    0.670000    1.036293    0.063131   -0.038944
-1.000000    0.700000    1.037019    0.061779   -0.039613
-1.000000    0.730000    1.037681    0.060433   -0.040217
-1.000000    0.760000    1.038281    0.059096   -0.040760
-1.000000    0.790000    1.038821    0.057772   -0.041243
-1.000000    0.820000    1.039305    0.056462   -0.041671
-1.000000    0.850000    1.039735    0.055169   -0.042047
-1.000000    0.880000    1.040115    0.053894   -0.042372
-1.000000    0.910000    1.040446    0.052640   -0.042650
-1.000000    0.940000    1.040733    0.051407   -0.042884
-1.000000    0.970000    1.040976    0.050196   -0.043076
-1.000000    1.000000    1.041180    0.049010   -0.043229
domain outlet
1.250000   -0.500000    0.949987   -0.091505    0.044575
1.250000   -0.470000    0.951688   -0.094485    0.042681
1.250000   -0.440000    0.953644   -0.097492    0.040530
1.250000   -0.410000    0.955877   -0.100501    0.038099
1.250000   -0.380000    0.958413   -0.103481    0.035369
1.250000   -0.350000    0.961270   -0.106394    0.032321
1.250000   -0.320000    0.964464   -0.109189    0.028944
1.250000   -0.290000    0.968001   -0.111812    0.025236
1.250000   -0.260000    0.971875   -0.114198    0.021209
1.250000   -0.230000    0.976062   -0.116279    0.016891
1.250000   -0.200000    0.980518   -0.117992    0.012331
1.250000   -0.170000    0.985182   -0.119283    0.007594
1.250000   -0.140000    0.989978   -0.120116    0.002758
1.250000   -0.110000    0.994822   -0.120476   -0.002093
1.250000   -0.080000    0.999633   -0.120374   -0.006878
1.250000   -0.050000    1.004339   -0.119837   -0.011529
1.250000   -0.020000    1.008880   -0.118906   -0.015989
1.250000    0.010000    1.013215   -0.117630   -0.020221
1.250000    0.040000    1.017314   -0.116060   -0.024199
1.250000    0.070000    1.021161   -0.114245   -0.027911
1.250000    0.100000    1.024749   -0.112229   -0.031353
1.250000    0.130000    1.028078   -0.110052   -0.034528
1.250000    0.160000    1.031152   -0.107750   -0.037443
1.250000    0.190000    1.033980   -0.105353   -0.040107
1.250000    0.220000    1.036571   -0.102887   -0.042532
1.250000    0.250000    1.038936   -0.100373   -0.044731
1.250000    0.280000    1.041088   -0.097831   -0.046717
1.250000    0.310000    1.043037   -0.095276   -0.048502
1.250000    0.340000    1.044797   -0.092721   -0.050100
1.250000    0.370000    1.046379   -0.090179   -0.051521
1.250000    0.400000    1.047795   -0.087658   -0.052779
1.250000    0.430000    1.049054   -0.085166   -0.053884
1.250000    0.460000    1.050168   -0.082710   -0.054847
1.250000    0.490000    1.051147   -0.080296   -0.055678
1.250000    0.520000    1.052000   -0.077928   -0.056388
1.250000    0.550000    1.052736   -0.075610   -0.056985
1.250000    0.580000    1.053364   -0.073344   -0.057477
1.250000    0.610000    1.053892   -0.071134   -0.057874
1.250000    0.640000    1.054327   -0.068979   -0.058182
1.250000    0.670000    1.054678   -0.066883   -0.058409
1.250000    0.700000    1.054949   -0.064845   -0.058561
1.250000    0.730000    1.055149   -0.062865   -0.058646
1.250000    0.760000    1.055282   -0.060945   -0.058668
1.250000    0.790000    1.055355   -0.059083   -0.058633
1.250000    0.820000    1.055373   -0.057280   -0.058546
1.250000    0.850000    1.055340   -0.055533   -0.058413
1.250000    0.880000    1.055261   -0.053844   -0.058237
1.250000    0.910000    1.055140   -0.052210   -0.058023
1.250000    0.940000    1.054981   -0.050630   -0.057774
1.250000    0.970000    1.054788   -0.049104   -0.057495
1.250000    1.000000    1.054564   -0.047630   -0.057187
