x,df/dx,True f',Accuracy
0.1,0.390834,0.390834,1.03196e-12
0.11,0.400762,0.400762,1.98471e-13
0.12,0.408976,0.408976,3.94809e-13
0.13,0.41563,0.41563,2.4801e-14
0.14,0.420849,0.420849,5.65076e-13
0.15,0.424741,0.424741,1.05347e-12
0.16,0.427396,0.427396,7.58238e-14
0.17,0.428895,0.428895,1.07101e-13
0.18,0.429306,0.429306,6.23805e-13
0.19,0.428691,0.428691,1.28073e-13
0.2,0.427105,0.427105,4.43678e-13
0.21,0.424595,0.424595,2.33326e-13
0.22,0.421208,0.421208,1.23611e-13
0.23,0.416983,0.416983,1.41939e-12
0.24,0.411957,0.411957,6.58834e-13
0.25,0.406164,0.406164,3.36548e-13
0.26,0.399634,0.399634,7.84202e-13
0.27,0.392397,0.392397,3.45005e-13
0.28,0.384479,0.384479,3.93534e-13
0.29,0.375905,0.375905,2.79231e-13
0.3,0.366695,0.366695,2.39658e-12
0.31,0.356873,0.356873,1.421e-12
0.32,0.346456,0.346456,1.09162e-12
0.33,0.335462,0.335462,1.00496e-12
0.34,0.323907,0.323907,2.20163e-12
0.35,0.311806,0.311806,1.679e-12
0.36,0.299171,0.299171,4.18846e-14
0.37,0.286015,0.286015,4.5318e-13
0.38,0.272347,0.272347,1.015e-12
0.39,0.258177,0.258177,5.07502e-12
0.4,0.24351,0.24351,4.05368e-13
0.41,0.228353,0.228353,1.9892e-13
0.42,0.212708,0.212708,1.11381e-12
0.43,0.196579,0.196579,1.71926e-12
0.44,0.179963,0.179963,4.63961e-12
0.45,0.162861,0.162861,4.27736e-12
0.46,0.145265,0.145265,7.3103e-12
0.47,0.127169,0.127169,6.08208e-12
0.48,0.108564,0.108564,1.49742e-12
0.49,0.0894342,0.0894342,4.92818e-12
0.5,0.0697638,0.0697638,3.6764e-12
0.51,0.0495309,0.0495309,2.59491e-11
0.52,0.0287093,0.0287093,2.91166e-11
0.53,0.00726705,0.00726705,1.43463e-12
0.54,-0.0148342,-0.0148342,3.38277e-11
0.55,-0.0376406,-0.0376406,2.76006e-12
0.56,-0.0612074,-0.0612074,2.25026e-12
0.57,-0.0856007,-0.0856007,6.42599e-12
0.58,-0.1109,-0.1109,9.68264e-12
0.59,-0.1372,-0.1372,2.75441e-12
0.6,-0.164617,-0.164617,2.05075e-12
0.61,-0.193291,-0.193291,4.20842e-12
0.62,-0.223392,-0.223392,1.14325e-12
0.63,-0.255131,-0.255131,3.31884e-12
0.64,-0.288772,-0.288772,2.6375e-12
0.65,-0.324646,-0.324646,3.83683e-12
0.66,-0.363178,-0.363178,3.02287e-12
0.67,-0.404917,-0.404917,1.23581e-12
0.68,-0.450597,-0.450597,4.43541e-12
0.69,-0.501209,-0.501209,3.85005e-12
0.7,-0.558143,-0.558143,2.97986e-12
0.71,-0.62341,-0.62341,3.8288e-12
0.72,-0.700055,-0.700055,2.81545e-12
0.73,-0.792957,-0.792957,3.32721e-12
0.74,-0.910554,-0.910554,3.78612e-12
0.75,-1.06909,-1.06909,3.76606e-12
0.76,-1.30534,-1.30534,2.9637e-12
0.77,-1.72996,-1.72996,3.28101e-12
0.78,-3.00873,-3.00873,3.32986e-12
