Time (s),Acc. (m/s^2), True Acc.,% Error
0,18.315,18.315,4.57876e-11
0.05,18.337,18.337,4.59047e-11
0.1,18.359,18.359,4.60204e-11
0.15,18.3811,18.3811,4.61524e-11
0.2,18.4032,18.4032,4.6279e-11
0.25,18.4253,18.4253,4.6416e-11
0.3,18.4475,18.4475,4.65238e-11
0.35,18.4697,18.4697,4.66578e-11
0.4,18.4919,18.4919,4.67847e-11
0.45,18.5142,18.5142,4.6908e-11
0.5,18.5365,18.5365,4.70407e-11
0.55,18.5588,18.5588,4.71586e-11
0.6,18.5812,18.5812,4.72866e-11
0.65,18.6036,18.6036,4.74211e-11
0.7,18.626,18.626,4.75553e-11
0.75,18.6485,18.6485,4.7673e-11
0.8,18.671,18.671,4.78225e-11
0.85,18.6936,18.6936,4.79491e-11
0.9,18.7161,18.7161,4.80777e-11
0.95,18.7388,18.7388,4.82148e-11
1,18.7614,18.7614,4.83446e-11
1.05,18.7841,18.7841,4.84734e-11
1.1,18.8069,18.8069,4.86079e-11
1.15,18.8296,18.8296,4.87391e-11
1.2,18.8524,18.8524,4.88831e-11
1.25,18.8753,18.8753,4.90142e-11
1.3,18.8981,18.8981,4.91647e-11
1.35,18.921,18.921,4.92907e-11
1.4,18.944,18.944,4.94341e-11
1.45,18.967,18.967,4.95665e-11
1.5,18.99,18.99,4.96981e-11
1.55,19.0131,19.0131,4.98576e-11
1.6,19.0362,19.0362,4.9987e-11
1.65,19.0593,19.0593,5.01254e-11
1.7,19.0825,19.0825,5.02594e-11
1.75,19.1057,19.1057,5.04072e-11
1.8,19.1289,19.1289,5.05413e-11
1.85,19.1522,19.1522,5.06883e-11
1.9,19.1755,19.1755,5.0838e-11
1.95,19.1989,19.1989,5.09818e-11
2,19.2223,19.2223,5.11103e-11
2.05,19.2457,19.2457,5.12404e-11
2.1,19.2692,19.2692,5.14088e-11
2.15,19.2927,19.2927,5.15483e-11
2.2,19.3162,19.3162,5.16916e-11
2.25,19.3398,19.3398,5.18547e-11
2.3,19.3634,19.3634,5.19901e-11
2.35,19.3871,19.3871,5.21417e-11
2.4,19.4108,19.4108,5.22872e-11
2.45,19.4345,19.4345,5.24279e-11
2.5,19.4583,19.4583,5.25868e-11
2.55,19.4821,19.4821,5.27383e-11
2.6,19.506,19.506,5.28774e-11
