Displacement_Transmissibility0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,Disp. Trans.,
0.1,0.673539,
0.1019,0.673805,
0.1038,0.674076,
0.1057,0.674353,
0.1076,0.674635,
0.1095,0.674922,
0.1114,0.675215,
0.1133,0.675513,
0.1152,0.675816,
0.1171,0.676124,
0.119,0.676438,
0.1209,0.676757,
0.1228,0.677081,
0.1247,0.677411,
0.1266,0.677746,
0.1285,0.678086,
0.1304,0.678432,
0.1323,0.678784,
0.1342,0.67914,
0.1361,0.679502,
0.138,0.67987,
0.1399,0.680243,
0.1418,0.680622,
0.1437,0.681006,
0.1456,0.681396,
0.1475,0.681791,
0.1494,0.682192,
0.1513,0.682598,
0.1532,0.68301,
0.1551,0.683428,
0.157,0.683851,
0.1589,0.68428,
0.1608,0.684714,
0.1627,0.685155,
0.1646,0.685601,
0.1665,0.686052,
0.1684,0.68651,
0.1703,0.686973,
0.1722,0.687442,
0.1741,0.687917,
0.176,0.688398,
0.1779,0.688884,
0.1798,0.689377,
0.1817,0.689875,
0.1836,0.69038,
0.1855,0.69089,
0.1874,0.691406,
0.1893,0.691928,
0.1912,0.692457,
0.1931,0.692991,
0.195,0.693531,
0.1969,0.694078,
0.1988,0.694631,
0.2007,0.695189,
0.2026,0.695754,
0.2045,0.696326,
0.2064,0.696903,
0.2083,0.697487,
0.2102,0.698077,
0.2121,0.698673,
0.214,0.699275,
0.2159,0.699884,
0.2178,0.7005,
0.2197,0.701122,
0.2216,0.70175,
0.2235,0.702385,
0.2254,0.703026,
0.2273,0.703674,
0.2292,0.704328,
0.2311,0.704989,
0.233,0.705657,
0.2349,0.706332,
0.2368,0.707013,
0.2387,0.7077,
0.2406,0.708395,
0.2425,0.709097,
0.2444,0.709805,
0.2463,0.71052,
0.2482,0.711242,
0.2501,0.711971,
0.252,0.712707,
0.2539,0.71345,
0.2558,0.7142,
0.2577,0.714958,
0.2596,0.715722,
0.2615,0.716494,
0.2634,0.717272,
0.2653,0.718058,
0.2672,0.718852,
0.2691,0.719652,
0.271,0.72046,
0.2729,0.721276,
0.2748,0.722099,
0.2767,0.722929,
0.2786,0.723767,
0.2805,0.724613,
0.2824,0.725466,
0.2843,0.726327,
0.2862,0.727196,
0.2881,0.728072,
0.29,0.728956,
0.2919,0.729849,
0.2938,0.730749,
0.2957,0.731657,
0.2976,0.732573,
0.2995,0.733497,
0.3014,0.734429,
0.3033,0.735369,
0.3052,0.736318,
0.3071,0.737275,
0.309,0.73824,
0.3109,0.739213,
0.3128,0.740195,
0.3147,0.741186,
0.3166,0.742185,
0.3185,0.743192,
0.3204,0.744208,
0.3223,0.745233,
0.3242,0.746267,
0.3261,0.747309,
0.328,0.748361,
0.3299,0.749421,
0.3318,0.75049,
0.3337,0.751568,
0.3356,0.752656,
0.3375,0.753752,
0.3394,0.754858,
0.3413,0.755973,
0.3432,0.757098,
0.3451,0.758232,
0.347,0.759375,
0.3489,0.760529,
0.3508,0.761691,
0.3527,0.762864,
0.3546,0.764046,
0.3565,0.765238,
0.3584,0.76644,
0.3603,0.767652,
0.3622,0.768874,
0.3641,0.770106,
0.366,0.771348,
0.3679,0.772601,
0.3698,0.773864,
0.3717,0.775138,
0.3736,0.776422,
0.3755,0.777716,
0.3774,0.779022,
0.3793,0.780338,
0.3812,0.781665,
0.3831,0.783003,
0.385,0.784352,
0.3869,0.785712,
0.3888,0.787083,
0.3907,0.788465,
0.3926,0.789859,
0.3945,0.791265,
0.3964,0.792681,
0.3983,0.79411,
0.4002,0.79555,
0.4021,0.797002,
0.404,0.798466,
0.4059,0.799943,
0.4078,0.801431,
0.4097,0.802931,
0.4116,0.804444,
0.4135,0.805969,
0.4154,0.807507,
0.4173,0.809057,
0.4192,0.810621,
0.4211,0.812197,
0.423,0.813786,
0.4249,0.815388,
0.4268,0.817003,
0.4287,0.818632,
0.4306,0.820274,
0.4325,0.821929,
0.4344,0.823598,
0.4363,0.825281,
0.4382,0.826978,
0.4401,0.828689,
0.442,0.830414,
0.4439,0.832153,
0.4458,0.833907,
0.4477,0.835675,
0.4496,0.837458,
0.4515,0.839256,
0.4534,0.841069,
0.4553,0.842896,
0.4572,0.844739,
0.4591,0.846597,
0.461,0.848471,
0.4629,0.85036,
0.4648,0.852266,
0.4667,0.854187,
0.4686,0.856124,
0.4705,0.858077,
0.4724,0.860047,
0.4743,0.862033,
0.4762,0.864036,
0.4781,0.866056,
0.48,0.868093,
0.4819,0.870147,
0.4838,0.872219,
0.4857,0.874308,
0.4876,0.876414,
0.4895,0.878539,
0.4914,0.880682,
0.4933,0.882843,
0.4952,0.885022,
0.4971,0.88722,
0.499,0.889436,
0.5009,0.891672,
0.5028,0.893927,
0.5047,0.896201,
0.5066,0.898495,
0.5085,0.900808,
0.5104,0.903142,
0.5123,0.905496,
0.5142,0.90787,
0.5161,0.910264,
0.518,0.91268,
0.5199,0.915117,
0.5218,0.917574,
0.5237,0.920054,
0.5256,0.922555,
0.5275,0.925078,
0.5294,0.927623,
0.5313,0.930191,
0.5332,0.932781,
0.5351,0.935395,
0.537,0.938031,
0.5389,0.940691,
0.5408,0.943374,
0.5427,0.946082,
0.5446,0.948814,
0.5465,0.95157,
0.5484,0.954351,
0.5503,0.957157,
0.5522,0.959989,
0.5541,0.962846,
0.556,0.965729,
0.5579,0.968638,
0.5598,0.971573,
0.5617,0.974536,
0.5636,0.977526,
0.5655,0.980543,
0.5674,0.983588,
0.5693,0.98666,
0.5712,0.989762,
0.5731,0.992892,
0.575,0.996051,
0.5769,0.99924,
0.5788,1.00246,
0.5807,1.00571,
0.5826,1.00899,
0.5845,1.0123,
0.5864,1.01564,
0.5883,1.01901,
0.5902,1.02242,
0.5921,1.02585,
0.594,1.02932,
0.5959,1.03283,
0.5978,1.03637,
0.5997,1.03994,
0.6016,1.04354,
0.6035,1.04718,
0.6054,1.05086,
0.6073,1.05457,
0.6092,1.05832,
0.6111,1.06211,
0.613,1.06593,
0.6149,1.06979,
0.6168,1.07369,
0.6187,1.07763,
0.6206,1.0816,
0.6225,1.08562,
0.6244,1.08968,
0.6263,1.09377,
0.6282,1.09791,
0.6301,1.10209,
0.632,1.10632,
0.6339,1.11058,
0.6358,1.11489,
0.6377,1.11925,
0.6396,1.12365,
0.6415,1.12809,
0.6434,1.13258,
0.6453,1.13712,
0.6472,1.1417,
0.6491,1.14634,
0.651,1.15102,
0.6529,1.15575,
0.6548,1.16053,
0.6567,1.16536,
0.6586,1.17025,
0.6605,1.17518,
0.6624,1.18017,
0.6643,1.18522,
0.6662,1.19031,
0.6681,1.19547,
0.67,1.20068,
0.6719,1.20594,
0.6738,1.21127,
0.6757,1.21665,
0.6776,1.22209,
0.6795,1.22759,
0.6814,1.23316,
0.6833,1.23878,
0.6852,1.24447,
0.6871,1.25023,
0.689,1.25605,
0.6909,1.26193,
0.6928,1.26789,
0.6947,1.27391,
0.6966,1.28,
0.6985,1.28616,
0.7004,1.29239,
0.7023,1.2987,
0.7042,1.30507,
0.7061,1.31153,
0.708,1.31806,
0.7099,1.32466,
0.7118,1.33135,
0.7137,1.33811,
0.7156,1.34496,
0.7175,1.35189,
0.7194,1.3589,
0.7213,1.366,
0.7232,1.37319,
0.7251,1.38046,
0.727,1.38782,
0.7289,1.39527,
0.7308,1.40282,
0.7327,1.41045,
0.7346,1.41819,
0.7365,1.42602,
0.7384,1.43395,
0.7403,1.44198,
0.7422,1.45011,
0.7441,1.45835,
0.746,1.46669,
0.7479,1.47514,
0.7498,1.4837,
0.7517,1.49237,
0.7536,1.50115,
