Force_Transmissibility_Wall0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,Force Trans. Wall,
0.1,0.336769,
0.1019,0.336902,
0.1038,0.337038,
0.1057,0.337177,
0.1076,0.337318,
0.1095,0.337461,
0.1114,0.337607,
0.1133,0.337756,
0.1152,0.337908,
0.1171,0.338062,
0.119,0.338219,
0.1209,0.338378,
0.1228,0.338541,
0.1247,0.338705,
0.1266,0.338873,
0.1285,0.339043,
0.1304,0.339216,
0.1323,0.339392,
0.1342,0.33957,
0.1361,0.339751,
0.138,0.339935,
0.1399,0.340122,
0.1418,0.340311,
0.1437,0.340503,
0.1456,0.340698,
0.1475,0.340895,
0.1494,0.341096,
0.1513,0.341299,
0.1532,0.341505,
0.1551,0.341714,
0.157,0.341925,
0.1589,0.34214,
0.1608,0.342357,
0.1627,0.342577,
0.1646,0.3428,
0.1665,0.343026,
0.1684,0.343255,
0.1703,0.343487,
0.1722,0.343721,
0.1741,0.343959,
0.176,0.344199,
0.1779,0.344442,
0.1798,0.344688,
0.1817,0.344938,
0.1836,0.34519,
0.1855,0.345445,
0.1874,0.345703,
0.1893,0.345964,
0.1912,0.346228,
0.1931,0.346495,
0.195,0.346766,
0.1969,0.347039,
0.1988,0.347315,
0.2007,0.347595,
0.2026,0.347877,
0.2045,0.348163,
0.2064,0.348451,
0.2083,0.348743,
0.2102,0.349038,
0.2121,0.349336,
0.214,0.349638,
0.2159,0.349942,
0.2178,0.35025,
0.2197,0.350561,
0.2216,0.350875,
0.2235,0.351192,
0.2254,0.351513,
0.2273,0.351837,
0.2292,0.352164,
0.2311,0.352495,
0.233,0.352829,
0.2349,0.353166,
0.2368,0.353506,
0.2387,0.35385,
0.2406,0.354198,
0.2425,0.354548,
0.2444,0.354902,
0.2463,0.35526,
0.2482,0.355621,
0.2501,0.355986,
0.252,0.356354,
0.2539,0.356725,
0.2558,0.3571,
0.2577,0.357479,
0.2596,0.357861,
0.2615,0.358247,
0.2634,0.358636,
0.2653,0.359029,
0.2672,0.359426,
0.2691,0.359826,
0.271,0.36023,
0.2729,0.360638,
0.2748,0.361049,
0.2767,0.361465,
0.2786,0.361884,
0.2805,0.362306,
0.2824,0.362733,
0.2843,0.363164,
0.2862,0.363598,
0.2881,0.364036,
0.29,0.364478,
0.2919,0.364924,
0.2938,0.365374,
0.2957,0.365828,
0.2976,0.366286,
0.2995,0.366748,
0.3014,0.367214,
0.3033,0.367685,
0.3052,0.368159,
0.3071,0.368637,
0.309,0.36912,
0.3109,0.369607,
0.3128,0.370098,
0.3147,0.370593,
0.3166,0.371092,
0.3185,0.371596,
0.3204,0.372104,
0.3223,0.372617,
0.3242,0.373133,
0.3261,0.373655,
0.328,0.37418,
0.3299,0.37471,
0.3318,0.375245,
0.3337,0.375784,
0.3356,0.376328,
0.3375,0.376876,
0.3394,0.377429,
0.3413,0.377987,
0.3432,0.378549,
0.3451,0.379116,
0.347,0.379688,
0.3489,0.380264,
0.3508,0.380846,
0.3527,0.381432,
0.3546,0.382023,
0.3565,0.382619,
0.3584,0.38322,
0.3603,0.383826,
0.3622,0.384437,
0.3641,0.385053,
0.366,0.385674,
0.3679,0.386301,
0.3698,0.386932,
0.3717,0.387569,
0.3736,0.388211,
0.3755,0.388858,
0.3774,0.389511,
0.3793,0.390169,
0.3812,0.390832,
0.3831,0.391501,
0.385,0.392176,
0.3869,0.392856,
0.3888,0.393541,
0.3907,0.394233,
0.3926,0.39493,
0.3945,0.395632,
0.3964,0.396341,
0.3983,0.397055,
0.4002,0.397775,
0.4021,0.398501,
0.404,0.399233,
0.4059,0.399971,
0.4078,0.400715,
0.4097,0.401466,
0.4116,0.402222,
0.4135,0.402985,
0.4154,0.403754,
0.4173,0.404529,
0.4192,0.40531,
0.4211,0.406098,
0.423,0.406893,
0.4249,0.407694,
0.4268,0.408501,
0.4287,0.409316,
0.4306,0.410137,
0.4325,0.410965,
0.4344,0.411799,
0.4363,0.412641,
0.4382,0.413489,
0.4401,0.414345,
0.442,0.415207,
0.4439,0.416077,
0.4458,0.416954,
0.4477,0.417838,
0.4496,0.418729,
0.4515,0.419628,
0.4534,0.420534,
0.4553,0.421448,
0.4572,0.42237,
0.4591,0.423299,
0.461,0.424236,
0.4629,0.42518,
0.4648,0.426133,
0.4667,0.427093,
0.4686,0.428062,
0.4705,0.429039,
0.4724,0.430024,
0.4743,0.431017,
0.4762,0.432018,
0.4781,0.433028,
0.48,0.434047,
0.4819,0.435074,
0.4838,0.436109,
0.4857,0.437154,
0.4876,0.438207,
0.4895,0.43927,
0.4914,0.440341,
0.4933,0.441421,
0.4952,0.442511,
0.4971,0.44361,
0.499,0.444718,
0.5009,0.445836,
0.5028,0.446963,
0.5047,0.448101,
0.5066,0.449247,
0.5085,0.450404,
0.5104,0.451571,
0.5123,0.452748,
0.5142,0.453935,
0.5161,0.455132,
0.518,0.45634,
0.5199,0.457558,
0.5218,0.458787,
0.5237,0.460027,
0.5256,0.461277,
0.5275,0.462539,
0.5294,0.463812,
0.5313,0.465095,
0.5332,0.466391,
0.5351,0.467697,
0.537,0.469015,
0.5389,0.470345,
0.5408,0.471687,
0.5427,0.473041,
0.5446,0.474407,
0.5465,0.475785,
0.5484,0.477176,
0.5503,0.478579,
0.5522,0.479994,
0.5541,0.481423,
0.556,0.482864,
0.5579,0.484319,
0.5598,0.485787,
0.5617,0.487268,
0.5636,0.488763,
0.5655,0.490271,
0.5674,0.491794,
0.5693,0.49333,
0.5712,0.494881,
0.5731,0.496446,
0.575,0.498026,
0.5769,0.49962,
0.5788,0.501229,
0.5807,0.502854,
0.5826,0.504493,
0.5845,0.506148,
0.5864,0.507819,
0.5883,0.509506,
0.5902,0.511208,
0.5921,0.512927,
0.594,0.514662,
0.5959,0.516414,
0.5978,0.518183,
0.5997,0.519968,
0.6016,0.521771,
0.6035,0.523592,
0.6054,0.52543,
0.6073,0.527286,
0.6092,0.52916,
0.6111,0.531053,
0.613,0.532964,
0.6149,0.534895,
0.6168,0.536844,
0.6187,0.538813,
0.6206,0.540801,
0.6225,0.542809,
0.6244,0.544838,
0.6263,0.546886,
0.6282,0.548956,
0.6301,0.551046,
0.632,0.553158,
0.6339,0.555291,
0.6358,0.557446,
0.6377,0.559623,
0.6396,0.561823,
0.6415,0.564045,
0.6434,0.566291,
0.6453,0.56856,
0.6472,0.570852,
0.6491,0.573169,
0.651,0.57551,
0.6529,0.577875,
0.6548,0.580266,
0.6567,0.582682,
0.6586,0.585124,
0.6605,0.587592,
0.6624,0.590086,
0.6643,0.592608,
0.6662,0.595157,
0.6681,0.597733,
0.67,0.600338,
0.6719,0.602971,
0.6738,0.605633,
0.6757,0.608324,
0.6776,0.611045,
0.6795,0.613797,
0.6814,0.616579,
0.6833,0.619392,
0.6852,0.622237,
0.6871,0.625114,
0.689,0.628024,
0.6909,0.630967,
0.6928,0.633943,
0.6947,0.636953,
0.6966,0.639999,
0.6985,0.643079,
0.7004,0.646195,
0.7023,0.649348,
0.7042,0.652537,
0.7061,0.655764,
0.708,0.659029,
0.7099,0.662332,
0.7118,0.665675,
0.7137,0.669057,
0.7156,0.672481,
0.7175,0.675945,
0.7194,0.679451,
0.7213,0.683,
0.7232,0.686593,
0.7251,0.690229,
0.727,0.693909,
0.7289,0.697636,
0.7308,0.701408,
0.7327,0.705227,
0.7346,0.709094,
0.7365,0.71301,
0.7384,0.716975,
0.7403,0.72099,
0.7422,0.725056,
0.7441,0.729174,
0.746,0.733345,
0.7479,0.737569,
0.7498,0.741848,
0.7517,0.746183,
0.7536,0.750574,
0.7555,0.755022,
0.7574,0.759529,
0.7593,0.764096,
0.7612,0.768723,
0.7631,0.773411,
0.765,0.778162,
0.7669,0.782977,
0.7688,0.787857,
0.7707,0.792803,
0.7726,0.797816,
0.7745,0.802897,
0.7764,0.808048,
0.7783,0.81327,
0.7802,0.818563,
0.7821,0.82393,
0.784,0.829372,
0.7859,0.83489,
0.7878,0.840485,
0.7897,0.846159,
0.7916,0.851913,
0.7935,0.857748,
0.7954,0.863667,
0.7973,0.86967,
0.7992,0.875758,
0.8011,0.881935,
0.803,0.888201,
0.8049,0.894557,
0.8068,0.901006,
0.8087,0.907548,
0.8106,0.914186,
0.8125,0.920922,
0.8144,0.927756,
0.8163,0.934691,
0.8182,0.941729,
0.8201,0.94887,
0.822,0.956118,
0.8239,0.963474,
0.8258,0.970939,
0.8277,0.978516,
0.8296,0.986206,
0.8315,0.994012,
0.8334,1.00193,
0.8353,1.00998,
0.8372,1.01814,
0.8391,1.02642,
0.841,1.03483,
0.8429,1.04337,
0.8448,1.05204,
0.8467,1.06083,
0.8486,1.06976,
0.8505,1.07882,
0.8524,1.08802,
0.8543,1.09736,
0.8562,1.10684,
0.8581,1.11645,
0.86,1.12621,
0.8619,1.13612,
0.8638,1.14617,
0.8657,1.15637,
0.8676,1.16672,
0.8695,1.17722,
0.8714,1.18787,
0.8733,1.19867,
0.8752,1.20962,
0.8771,1.22073,
0.879,1.232,
0.8809,1.24341,
0.8828,1.25499,
0.8847,1.26672,
0.8866,1.2786,
0.8885,1.29063,
0.8904,1.30282,
0.8923,1.31517,
0.8942,1.32766,
0.8961,1.3403,
0.898,1.35308,
0.8999,1.36601,
0.9018,1.37907,
0.9037,1.39228,
0.9056,1.40561,
0.9075,1.41907,
0.9094,1.43264,
0.9113,1.44634,
0.9132,1.46014,
0.9151,1.47403,
0.917,1.48802,
0.9189,1.50209,
0.9208,1.51622,
0.9227,1.53042,
0.9246,1.54466,
0.9265,1.55893,
0.9284,1.57322,
0.9303,1.58751,
0.9322,1.60179,
0.9341,1.61603,
0.936,1.63022,
0.9379,1.64434,
0.9398,1.65837,
0.9417,1.67228,
0.9436,1.68605,
0.9455,1.69965,
0.9474,1.71306,
0.9493,1.72625,
0.9512,1.7392,
0.9531,1.75186,
0.955,1.76422,
0.9569,1.77624,
0.9588,1.78789,
0.9607,1.79914,
0.9626,1.80996,
0.9645,1.82031,
0.9664,1.83015,
0.9683,1.83947,
0.9702,1.84823,
0.9721,1.8564,
0.974,1.86394,
0.9759,1.87083,
0.9778,1.87704,
0.9797,1.88255,
0.9816,1.88733,
0.9835,1.89137,
0.9854,1.89464,
0.9873,1.89712,
0.9892,1.89882,
0.9911,1.8997,
