Frequency_Response0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,H,
0.1,1.00993,
0.1019,1.01031,
0.1038,1.01071,
0.1057,1.01111,
0.1076,1.01151,
0.1095,1.01193,
0.1114,1.01235,
0.1133,1.01278,
0.1152,1.01322,
0.1171,1.01366,
0.119,1.01412,
0.1209,1.01458,
0.1228,1.01505,
0.1247,1.01552,
0.1266,1.01601,
0.1285,1.0165,
0.1304,1.017,
0.1323,1.01751,
0.1342,1.01802,
0.1361,1.01855,
0.138,1.01908,
0.1399,1.01962,
0.1418,1.02016,
0.1437,1.02072,
0.1456,1.02128,
0.1475,1.02185,
0.1494,1.02243,
0.1513,1.02302,
0.1532,1.02361,
0.1551,1.02422,
0.157,1.02483,
0.1589,1.02545,
0.1608,1.02608,
0.1627,1.02671,
0.1646,1.02736,
0.1665,1.02801,
0.1684,1.02867,
0.1703,1.02934,
0.1722,1.03002,
0.1741,1.0307,
0.176,1.0314,
0.1779,1.0321,
0.1798,1.03281,
0.1817,1.03353,
0.1836,1.03426,
0.1855,1.035,
0.1874,1.03575,
0.1893,1.0365,
0.1912,1.03726,
0.1931,1.03804,
0.195,1.03882,
0.1969,1.03961,
0.1988,1.04041,
0.2007,1.04121,
0.2026,1.04203,
0.2045,1.04285,
0.2064,1.04369,
0.2083,1.04453,
0.2102,1.04538,
0.2121,1.04625,
0.214,1.04712,
0.2159,1.048,
0.2178,1.04889,
0.2197,1.04978,
0.2216,1.05069,
0.2235,1.05161,
0.2254,1.05254,
0.2273,1.05347,
0.2292,1.05442,
0.2311,1.05537,
0.233,1.05634,
0.2349,1.05731,
0.2368,1.0583,
0.2387,1.05929,
0.2406,1.06029,
0.2425,1.06131,
0.2444,1.06233,
0.2463,1.06336,
0.2482,1.06441,
0.2501,1.06546,
0.252,1.06652,
0.2539,1.0676,
0.2558,1.06868,
0.2577,1.06978,
0.2596,1.07088,
0.2615,1.07199,
0.2634,1.07312,
0.2653,1.07426,
0.2672,1.0754,
0.2691,1.07656,
0.271,1.07773,
0.2729,1.0789,
0.2748,1.08009,
0.2767,1.08129,
0.2786,1.0825,
0.2805,1.08373,
0.2824,1.08496,
0.2843,1.0862,
0.2862,1.08746,
0.2881,1.08872,
0.29,1.09,
0.2919,1.09129,
0.2938,1.09259,
0.2957,1.0939,
0.2976,1.09523,
0.2995,1.09656,
0.3014,1.09791,
0.3033,1.09927,
0.3052,1.10064,
0.3071,1.10202,
0.309,1.10342,
0.3109,1.10482,
0.3128,1.10624,
0.3147,1.10767,
0.3166,1.10912,
0.3185,1.11057,
0.3204,1.11204,
0.3223,1.11352,
0.3242,1.11501,
0.3261,1.11652,
0.328,1.11804,
0.3299,1.11957,
0.3318,1.12112,
0.3337,1.12267,
0.3356,1.12425,
0.3375,1.12583,
0.3394,1.12743,
0.3413,1.12904,
0.3432,1.13066,
0.3451,1.1323,
0.347,1.13395,
0.3489,1.13562,
0.3508,1.1373,
0.3527,1.13899,
0.3546,1.1407,
0.3565,1.14242,
0.3584,1.14416,
0.3603,1.14591,
0.3622,1.14768,
0.3641,1.14946,
0.366,1.15125,
0.3679,1.15306,
0.3698,1.15489,
0.3717,1.15673,
0.3736,1.15858,
0.3755,1.16045,
0.3774,1.16234,
0.3793,1.16424,
0.3812,1.16616,
0.3831,1.16809,
0.385,1.17004,
0.3869,1.17201,
0.3888,1.17399,
0.3907,1.17599,
0.3926,1.178,
0.3945,1.18003,
0.3964,1.18208,
0.3983,1.18414,
0.4002,1.18622,
0.4021,1.18832,
0.404,1.19044,
0.4059,1.19257,
0.4078,1.19472,
0.4097,1.19689,
0.4116,1.19907,
0.4135,1.20128,
0.4154,1.2035,
0.4173,1.20574,
0.4192,1.208,
0.4211,1.21027,
0.423,1.21257,
0.4249,1.21488,
0.4268,1.21722,
0.4287,1.21957,
0.4306,1.22194,
0.4325,1.22434,
0.4344,1.22675,
0.4363,1.22918,
0.4382,1.23163,
0.4401,1.2341,
0.442,1.23659,
0.4439,1.23911,
0.4458,1.24164,
0.4477,1.2442,
0.4496,1.24677,
0.4515,1.24937,
0.4534,1.25199,
0.4553,1.25463,
0.4572,1.25729,
0.4591,1.25998,
0.461,1.26268,
0.4629,1.26541,
0.4648,1.26817,
0.4667,1.27094,
0.4686,1.27374,
0.4705,1.27656,
0.4724,1.27941,
0.4743,1.28228,
0.4762,1.28517,
0.4781,1.28809,
0.48,1.29103,
0.4819,1.294,
0.4838,1.29699,
0.4857,1.30001,
0.4876,1.30306,
0.4895,1.30612,
0.4914,1.30922,
0.4933,1.31234,
0.4952,1.31549,
0.4971,1.31867,
0.499,1.32187,
0.5009,1.3251,
0.5028,1.32836,
0.5047,1.33164,
0.5066,1.33496,
0.5085,1.3383,
0.5104,1.34167,
0.5123,1.34507,
0.5142,1.3485,
0.5161,1.35196,
0.518,1.35545,
