Max_Force_Wall0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,Max Force Wall,
0.1,6.73539,
0.1019,6.73805,
0.1038,6.74076,
0.1057,6.74353,
0.1076,6.74635,
0.1095,6.74922,
0.1114,6.75215,
0.1133,6.75513,
0.1152,6.75816,
0.1171,6.76124,
0.119,6.76438,
0.1209,6.76757,
0.1228,6.77081,
0.1247,6.77411,
0.1266,6.77746,
0.1285,6.78086,
0.1304,6.78432,
0.1323,6.78784,
0.1342,6.7914,
0.1361,6.79502,
0.138,6.7987,
0.1399,6.80243,
0.1418,6.80622,
0.1437,6.81006,
0.1456,6.81396,
0.1475,6.81791,
0.1494,6.82192,
0.1513,6.82598,
0.1532,6.8301,
0.1551,6.83428,
0.157,6.83851,
0.1589,6.8428,
0.1608,6.84714,
0.1627,6.85155,
0.1646,6.85601,
0.1665,6.86052,
0.1684,6.8651,
0.1703,6.86973,
0.1722,6.87442,
0.1741,6.87917,
0.176,6.88398,
0.1779,6.88884,
0.1798,6.89377,
0.1817,6.89875,
0.1836,6.9038,
0.1855,6.9089,
0.1874,6.91406,
0.1893,6.91928,
0.1912,6.92457,
0.1931,6.92991,
0.195,6.93531,
0.1969,6.94078,
0.1988,6.94631,
0.2007,6.95189,
0.2026,6.95754,
0.2045,6.96326,
0.2064,6.96903,
0.2083,6.97487,
0.2102,6.98077,
0.2121,6.98673,
0.214,6.99275,
0.2159,6.99884,
0.2178,7.005,
0.2197,7.01122,
0.2216,7.0175,
0.2235,7.02385,
0.2254,7.03026,
0.2273,7.03674,
0.2292,7.04328,
0.2311,7.04989,
0.233,7.05657,
0.2349,7.06332,
0.2368,7.07013,
0.2387,7.077,
0.2406,7.08395,
0.2425,7.09097,
0.2444,7.09805,
0.2463,7.1052,
0.2482,7.11242,
0.2501,7.11971,
0.252,7.12707,
0.2539,7.1345,
0.2558,7.142,
0.2577,7.14958,
0.2596,7.15722,
0.2615,7.16494,
0.2634,7.17272,
0.2653,7.18058,
0.2672,7.18852,
0.2691,7.19652,
0.271,7.2046,
0.2729,7.21276,
0.2748,7.22099,
0.2767,7.22929,
0.2786,7.23767,
0.2805,7.24613,
0.2824,7.25466,
0.2843,7.26327,
0.2862,7.27196,
0.2881,7.28072,
0.29,7.28956,
0.2919,7.29849,
0.2938,7.30749,
0.2957,7.31657,
0.2976,7.32573,
0.2995,7.33497,
0.3014,7.34429,
0.3033,7.35369,
0.3052,7.36318,
0.3071,7.37275,
0.309,7.3824,
0.3109,7.39213,
0.3128,7.40195,
0.3147,7.41186,
0.3166,7.42185,
0.3185,7.43192,
0.3204,7.44208,
0.3223,7.45233,
0.3242,7.46267,
0.3261,7.47309,
0.328,7.48361,
0.3299,7.49421,
0.3318,7.5049,
0.3337,7.51568,
0.3356,7.52656,
0.3375,7.53752,
0.3394,7.54858,
0.3413,7.55973,
0.3432,7.57098,
0.3451,7.58232,
0.347,7.59375,
0.3489,7.60529,
0.3508,7.61691,
0.3527,7.62864,
0.3546,7.64046,
0.3565,7.65238,
0.3584,7.6644,
0.3603,7.67652,
0.3622,7.68874,
0.3641,7.70106,
0.366,7.71348,
0.3679,7.72601,
0.3698,7.73864,
0.3717,7.75138,
0.3736,7.76422,
0.3755,7.77716,
0.3774,7.79022,
0.3793,7.80338,
0.3812,7.81665,
0.3831,7.83003,
0.385,7.84352,
0.3869,7.85712,
0.3888,7.87083,
0.3907,7.88465,
0.3926,7.89859,
0.3945,7.91265,
0.3964,7.92681,
0.3983,7.9411,
0.4002,7.9555,
0.4021,7.97002,
0.404,7.98466,
0.4059,7.99943,
0.4078,8.01431,
0.4097,8.02931,
0.4116,8.04444,
0.4135,8.05969,
0.4154,8.07507,
0.4173,8.09057,
0.4192,8.10621,
0.4211,8.12197,
0.423,8.13786,
0.4249,8.15388,
0.4268,8.17003,
0.4287,8.18632,
0.4306,8.20274,
0.4325,8.21929,
0.4344,8.23598,
0.4363,8.25281,
0.4382,8.26978,
0.4401,8.28689,
0.442,8.30414,
0.4439,8.32153,
0.4458,8.33907,
0.4477,8.35675,
0.4496,8.37458,
0.4515,8.39256,
0.4534,8.41069,
0.4553,8.42896,
0.4572,8.44739,
0.4591,8.46597,
0.461,8.48471,
0.4629,8.5036,
0.4648,8.52266,
0.4667,8.54187,
0.4686,8.56124,
0.4705,8.58077,
0.4724,8.60047,
0.4743,8.62033,
0.4762,8.64036,
0.4781,8.66056,
0.48,8.68093,
0.4819,8.70147,
0.4838,8.72219,
0.4857,8.74308,
0.4876,8.76414,
0.4895,8.78539,
0.4914,8.80682,
0.4933,8.82843,
0.4952,8.85022,
0.4971,8.8722,
0.499,8.89436,
0.5009,8.91672,
0.5028,8.93927,
0.5047,8.96201,
0.5066,8.98495,
0.5085,9.00808,
0.5104,9.03142,
0.5123,9.05496,
0.5142,9.0787,
0.5161,9.10264,
0.518,9.1268,
0.5199,9.15117,
0.5218,9.17574,
0.5237,9.20054,
0.5256,9.22555,
0.5275,9.25078,
0.5294,9.27623,
0.5313,9.30191,
0.5332,9.32781,
0.5351,9.35395,
0.537,9.38031,
0.5389,9.40691,
0.5408,9.43374,
0.5427,9.46082,
0.5446,9.48814,
0.5465,9.5157,
0.5484,9.54351,
0.5503,9.57157,
0.5522,9.59989,
0.5541,9.62846,
0.556,9.65729,
0.5579,9.68638,
0.5598,9.71573,
0.5617,9.74536,
0.5636,9.77526,
0.5655,9.80543,
0.5674,9.83588,
0.5693,9.8666,
0.5712,9.89762,
0.5731,9.92892,
0.575,9.96051,
0.5769,9.9924,
0.5788,10.0246,
0.5807,10.0571,
0.5826,10.0899,
0.5845,10.123,
0.5864,10.1564,
0.5883,10.1901,
0.5902,10.2242,
0.5921,10.2585,
0.594,10.2932,
0.5959,10.3283,
0.5978,10.3637,
0.5997,10.3994,
0.6016,10.4354,
0.6035,10.4718,
0.6054,10.5086,
0.6073,10.5457,
0.6092,10.5832,
0.6111,10.6211,
0.613,10.6593,
0.6149,10.6979,
0.6168,10.7369,
0.6187,10.7763,
0.6206,10.816,
0.6225,10.8562,
0.6244,10.8968,
0.6263,10.9377,
0.6282,10.9791,
0.6301,11.0209,
0.632,11.0632,
0.6339,11.1058,
0.6358,11.1489,
0.6377,11.1925,
0.6396,11.2365,
0.6415,11.2809,
0.6434,11.3258,
0.6453,11.3712,
0.6472,11.417,
0.6491,11.4634,
0.651,11.5102,
0.6529,11.5575,
0.6548,11.6053,
0.6567,11.6536,
0.6586,11.7025,
0.6605,11.7518,
0.6624,11.8017,
0.6643,11.8522,
0.6662,11.9031,
0.6681,11.9547,
0.67,12.0068,
0.6719,12.0594,
0.6738,12.1127,
0.6757,12.1665,
0.6776,12.2209,
0.6795,12.2759,
0.6814,12.3316,
0.6833,12.3878,
0.6852,12.4447,
0.6871,12.5023,
0.689,12.5605,
0.6909,12.6193,
0.6928,12.6789,
0.6947,12.7391,
0.6966,12.8,
0.6985,12.8616,
0.7004,12.9239,
0.7023,12.987,
0.7042,13.0507,
0.7061,13.1153,
0.708,13.1806,
0.7099,13.2466,
0.7118,13.3135,
0.7137,13.3811,
0.7156,13.4496,
0.7175,13.5189,
0.7194,13.589,
0.7213,13.66,
0.7232,13.7319,
0.7251,13.8046,
0.727,13.8782,
0.7289,13.9527,
0.7308,14.0282,
0.7327,14.1045,
0.7346,14.1819,
0.7365,14.2602,
0.7384,14.3395,
0.7403,14.4198,
0.7422,14.5011,
0.7441,14.5835,
0.746,14.6669,
0.7479,14.7514,
0.7498,14.837,
0.7517,14.9237,
0.7536,15.0115,
0.7555,15.1004,
0.7574,15.1906,
0.7593,15.2819,
0.7612,15.3745,
0.7631,15.4682,
0.765,15.5632,
0.7669,15.6595,
0.7688,15.7571,
0.7707,15.8561,
0.7726,15.9563,
0.7745,16.0579,
0.7764,16.161,
0.7783,16.2654,
0.7802,16.3713,
0.7821,16.4786,
0.784,16.5874,
0.7859,16.6978,
0.7878,16.8097,
0.7897,16.9232,
0.7916,17.0383,
0.7935,17.155,
0.7954,17.2733,
0.7973,17.3934,
