Phase_Angle0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,phi,
0.1,-0.00893954,
0.1019,-0.00910192,
0.1038,-0.00926388,
0.1057,-0.0094254,
0.1076,-0.00958647,
0.1095,-0.0097471,
0.1114,-0.00990726,
0.1133,-0.0100669,
0.1152,-0.0102262,
0.1171,-0.0103849,
0.119,-0.0105431,
0.1209,-0.0107008,
0.1228,-0.010858,
0.1247,-0.0110147,
0.1266,-0.0111709,
0.1285,-0.0113265,
0.1304,-0.0114816,
0.1323,-0.0116361,
0.1342,-0.01179,
0.1361,-0.0119434,
0.138,-0.0120962,
0.1399,-0.0122483,
0.1418,-0.0123999,
0.1437,-0.0125509,
0.1456,-0.0127012,
0.1475,-0.0128509,
0.1494,-0.013,
0.1513,-0.0131484,
0.1532,-0.0132962,
0.1551,-0.0134433,
0.157,-0.0135897,
0.1589,-0.0137354,
0.1608,-0.0138804,
0.1627,-0.0140247,
0.1646,-0.0141683,
0.1665,-0.0143112,
0.1684,-0.0144533,
0.1703,-0.0145947,
0.1722,-0.0147353,
0.1741,-0.0148752,
0.176,-0.0150142,
0.1779,-0.0151525,
0.1798,-0.01529,
0.1817,-0.0154267,
0.1836,-0.0155625,
0.1855,-0.0156976,
0.1874,-0.0158318,
0.1893,-0.0159651,
0.1912,-0.0160976,
0.1931,-0.0162292,
0.195,-0.0163599,
0.1969,-0.0164897,
0.1988,-0.0166187,
0.2007,-0.0167467,
0.2026,-0.0168738,
0.2045,-0.0169999,
0.2064,-0.0171251,
0.2083,-0.0172493,
0.2102,-0.0173726,
0.2121,-0.0174949,
0.214,-0.0176162,
0.2159,-0.0177365,
0.2178,-0.0178557,
0.2197,-0.017974,
0.2216,-0.0180912,
0.2235,-0.0182073,
0.2254,-0.0183224,
0.2273,-0.0184364,
0.2292,-0.0185493,
0.2311,-0.0186611,
0.233,-0.0187718,
0.2349,-0.0188814,
0.2368,-0.0189898,
0.2387,-0.0190971,
0.2406,-0.0192032,
0.2425,-0.0193081,
0.2444,-0.0194119,
0.2463,-0.0195144,
0.2482,-0.0196157,
0.2501,-0.0197158,
0.252,-0.0198147,
0.2539,-0.0199123,
0.2558,-0.0200086,
0.2577,-0.0201037,
0.2596,-0.0201974,
0.2615,-0.0202899,
0.2634,-0.020381,
0.2653,-0.0204708,
0.2672,-0.0205592,
0.2691,-0.0206463,
0.271,-0.020732,
0.2729,-0.0208162,
0.2748,-0.0208991,
0.2767,-0.0209806,
0.2786,-0.0210606,
0.2805,-0.0211391,
0.2824,-0.0212162,
0.2843,-0.0212918,
0.2862,-0.0213659,
0.2881,-0.0214385,
0.29,-0.0215095,
0.2919,-0.021579,
0.2938,-0.0216469,
0.2957,-0.0217133,
0.2976,-0.021778,
0.2995,-0.0218412,
0.3014,-0.0219027,
0.3033,-0.0219625,
0.3052,-0.0220207,
0.3071,-0.0220772,
0.309,-0.0221321,
0.3109,-0.0221852,
0.3128,-0.0222365,
0.3147,-0.0222861,
0.3166,-0.022334,
0.3185,-0.02238,
0.3204,-0.0224243,
0.3223,-0.0224667,
0.3242,-0.0225073,
0.3261,-0.0225461,
0.328,-0.0225829,
0.3299,-0.0226179,
0.3318,-0.0226509,
0.3337,-0.022682,
0.3356,-0.0227111,
0.3375,-0.0227383,
0.3394,-0.0227634,
0.3413,-0.0227866,
0.3432,-0.0228077,
0.3451,-0.0228267,
0.347,-0.0228437,
0.3489,-0.0228586,
0.3508,-0.0228713,
0.3527,-0.0228819,
0.3546,-0.0228904,
0.3565,-0.0228966,
0.3584,-0.0229006,
0.3603,-0.0229024,
0.3622,-0.022902,
0.3641,-0.0228993,
0.366,-0.0228942,
0.3679,-0.0228869,
0.3698,-0.0228772,
0.3717,-0.0228651,
0.3736,-0.0228506,
0.3755,-0.0228337,
0.3774,-0.0228144,
0.3793,-0.0227925,
0.3812,-0.0227682,
0.3831,-0.0227414,
0.385,-0.022712,
0.3869,-0.02268,
0.3888,-0.0226455,
0.3907,-0.0226083,
0.3926,-0.0225684,
0.3945,-0.0225259,
0.3964,-0.0224807,
0.3983,-0.0224327,
0.4002,-0.022382,
0.4021,-0.0223284,
0.404,-0.0222721,
0.4059,-0.0222128,
0.4078,-0.0221507,
0.4097,-0.0220857,
0.4116,-0.0220178,
0.4135,-0.0219468,
0.4154,-0.0218729,
0.4173,-0.0217959,
0.4192,-0.0217159,
0.4211,-0.0216327,
0.423,-0.0215465,
0.4249,-0.021457,
0.4268,-0.0213644,
0.4287,-0.0212685,
0.4306,-0.0211693,
0.4325,-0.0210669,
0.4344,-0.0209611,
0.4363,-0.0208519,
0.4382,-0.0207393,
0.4401,-0.0206233,
0.442,-0.0205038,
0.4439,-0.0203808,
0.4458,-0.0202542,
0.4477,-0.020124,
0.4496,-0.0199902,
0.4515,-0.0198527,
0.4534,-0.0197115,
0.4553,-0.0195665,
0.4572,-0.0194177,
0.4591,-0.0192651,
0.461,-0.0191086,
0.4629,-0.0189482,
0.4648,-0.0187839,
0.4667,-0.0186155,
0.4686,-0.018443,
0.4705,-0.0182665,
0.4724,-0.0180858,
0.4743,-0.017901,
0.4762,-0.0177119,
0.4781,-0.0175185,
0.48,-0.0173208,
0.4819,-0.0171187,
0.4838,-0.0169121,
0.4857,-0.0167011,
0.4876,-0.0164856,
0.4895,-0.0162654,
0.4914,-0.0160407,
0.4933,-0.0158113,
0.4952,-0.0155771,
0.4971,-0.0153381,
0.499,-0.0150943,
0.5009,-0.0148455,
0.5028,-0.0145919,
0.5047,-0.0143331,
0.5066,-0.0140694,
0.5085,-0.0138004,
0.5104,-0.0135263,
0.5123,-0.013247,
0.5142,-0.0129623,
0.5161,-0.0126722,
0.518,-0.0123767,
0.5199,-0.0120756,
0.5218,-0.011769,
0.5237,-0.0114568,
0.5256,-0.0111389,
0.5275,-0.0108151,
0.5294,-0.0104856,
0.5313,-0.0101501,
0.5332,-0.00980861,
0.5351,-0.00946108,
0.537,-0.00910741,
0.5389,-0.00874753,
0.5408,-0.00838138,
0.5427,-0.00800886,
0.5446,-0.00762989,
0.5465,-0.00724442,
0.5484,-0.00685234,
0.5503,-0.00645357,
0.5522,-0.00604805,
0.5541,-0.00563567,
0.556,-0.00521635,
